name,unit,npm,npm_detail,dev,com,io,sh,app,github,score,lane_url
array,Cell,DEAD-SQUAT,"v0.4.3, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=array+developer+platform+cli
atoll,Coral,DEAD-SQUAT,"v0.7.4, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=atoll+developer+platform+cli
atrium,Tile,DEAD-SQUAT,"v0.0.0, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=atrium+developer+platform+cli
aviary,Finch,DEAD-SQUAT,"v0.1.1, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=aviary+developer+platform+cli
barn,Bale,DEAD-SQUAT,"v0.2.3, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=barn+developer+platform+cli
barrel,Dram,DEAD-SQUAT,"v0.1.0, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=barrel+developer+platform+cli
basin,Drop,DEAD-SQUAT,"v0.3.0, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=basin+developer+platform+cli
bazaar,Stall,DEAD-SQUAT,"v0.2.5, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=bazaar+developer+platform+cli
berg,Shard,DEAD-SQUAT,"v0.1.1, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=berg+developer+platform+cli
blip,Byte,DEAD-SQUAT,"v0.2.3, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=blip+developer+platform+cli
board,Chip,DEAD-SQUAT,"v0.5.1, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=board+developer+platform+cli
boson,Quark,DEAD-SQUAT,"v0.3.0, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=boson+developer+platform+cli
brew,Shot,DEAD-SQUAT,"v0.0.8, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=brew+developer+platform+cli
brood,Larva,DEAD-SQUAT,"v0.1.4, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=brood+developer+platform+cli
brook,Pebble,DEAD-SQUAT,"v0.0.3, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=brook+developer+platform+cli
bushel,Grain,DEAD-SQUAT,"v0.0.1, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=bushel+developer+platform+cli
buttress,Block,DEAD-SQUAT,"v0.0.8, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=buttress+developer+platform+cli
cairn,Stone,DEAD-SQUAT,"v0.8.0, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=cairn+developer+platform+cli
canopy,Leaf,DEAD-SQUAT,"v0.4.1, 3.1y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=canopy+developer+platform+cli
capacitor,Charge,DEAD-SQUAT,"v0.5.6, 2.8y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=capacitor+developer+platform+cli
cascade,Droplet,DEAD-SQUAT,"v0.7.11, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=cascade+developer+platform+cli
cask,Dram,DEAD-SQUAT,"v0.0.0, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=cask+developer+platform+cli
cellar,Bottle,DEAD-SQUAT,"v0.0.3, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=cellar+developer+platform+cli
chord,Tone,DEAD-SQUAT,"v0.1.2, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=chord+developer+platform+cli
cirrus,Mote,DEAD-SQUAT,"v0.6.0, 2.8y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=cirrus+developer+platform+cli
clockwork,Cog,DEAD-SQUAT,"v0.1.4, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=clockwork+developer+platform+cli
cluster,Node,DEAD-SQUAT,"v0.7.7, 3.5y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=cluster+developer+platform+cli
collider,Muon,DEAD-SQUAT,"v0.0.0, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=collider+developer+platform+cli
colonnade,Column,DEAD-SQUAT,"v0.1.3, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=colonnade+developer+platform+cli
colony,Drone,DEAD-SQUAT,"v0.0.7, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=colony+developer+platform+cli
compendium,Entry,DEAD-SQUAT,"v0.0.3, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=compendium+developer+platform+cli
confluence,Stream,DEAD-SQUAT,"v0.0.0, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=confluence+developer+platform+cli
cosmos,Comet,DEAD-SQUAT,"v0.1.2, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=cosmos+developer+platform+cli
cove,Sloop,DEAD-SQUAT,"v0.0.0, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=cove+developer+platform+cli
crema,Shot,DEAD-SQUAT,"v0.1.5, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=crema+developer+platform+cli
crib,Grain,DEAD-SQUAT,"v0.2.6, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=crib+developer+platform+cli
crucible,Melt,DEAD-SQUAT,unpublished/empty,taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=crucible+developer+platform+cli
crush,Must,DEAD-SQUAT,"v0.2.1, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=crush+developer+platform+cli
current,Eddy,DEAD-SQUAT,"v0.1.6, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=current+developer+platform+cli
dock,Crate,DEAD-SQUAT,"v0.1.4, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=dock+developer+platform+cli
elixir,Dose,DEAD-SQUAT,"v0.1.2, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=elixir+developer+platform+cli
eon,Quark,DEAD-SQUAT,"v0.0.2, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=eon+developer+platform+cli
exchange,Lot,DEAD-SQUAT,"v0.0.0, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=exchange+developer+platform+cli
felt,Fiber,DEAD-SQUAT,"v0.3.2, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=felt+developer+platform+cli
ferment,Culture,DEAD-SQUAT,"v0.6.19, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=ferment+developer+platform+cli
flit,Spark,DEAD-SQUAT,"v0.0.9, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=flit+developer+platform+cli
flock,Wing,DEAD-SQUAT,"v0.3.10, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=flock+developer+platform+cli
floe,Shard,DEAD-SQUAT,"v0.0.1, 4.1y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=floe+developer+platform+cli
flurry,Flake,DEAD-SQUAT,"v0.1.0, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=flurry+developer+platform+cli
flywheel,Cog,DEAD-SQUAT,"v0.1.0, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=flywheel+developer+platform+cli
fresco,Chip,DEAD-SQUAT,"v0.0.0, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=fresco+developer+platform+cli
frost,Crystal,DEAD-SQUAT,"v0.0.9, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=frost+developer+platform+cli
furnace,Coal,DEAD-SQUAT,"v0.0.1-alpha2, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=furnace+developer+platform+cli
gantry,Bolt,DEAD-SQUAT,"v0.0.1, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=gantry+developer+platform+cli
gear,Cog,DEAD-SQUAT,"v0.9.7, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=gear+developer+platform+cli
glacier,Floe,DEAD-SQUAT,"v0.0.1, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=glacier+developer+platform+cli
glade,Fern,DEAD-SQUAT,unpublished/empty,taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=glade+developer+platform+cli
glaze,Crystal,DEAD-SQUAT,"v0.5.1, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=glaze+developer+platform+cli
granary,Grain,DEAD-SQUAT,"v0.2.1, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=granary+developer+platform+cli
grove,Sapling,DEAD-SQUAT,"v0.4.0, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=grove+developer+platform+cli
hadron,Quark,DEAD-SQUAT,"v0.3.1, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=hadron+developer+platform+cli
halo,Moon,DEAD-SQUAT,"v0.1.6, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=halo+developer+platform+cli
harbor,Skiff,DEAD-SQUAT,"v0.3.0, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=harbor+developer+platform+cli
headwater,Drop,DEAD-SQUAT,"v0.4.1, 4.1y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=headwater+developer+platform+cli
heath,Heather,DEAD-SQUAT,"v0.0.0, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=heath+developer+platform+cli
hold,Pallet,DEAD-SQUAT,"v0.0.11, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=hold+developer+platform+cli
husk,Kernel,DEAD-SQUAT,"v0.5.3, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=husk+developer+platform+cli
index,Entry,DEAD-SQUAT,"v0.4.0, 2.4y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=index+developer+platform+cli
inlay,Shard,DEAD-SQUAT,"v0.0.7, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=inlay+developer+platform+cli
kiln,Vessel,DEAD-SQUAT,"v0.0.1, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=kiln+developer+platform+cli
knox,Bit,DEAD-SQUAT,"v0.9.2, 2.1y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=knox+developer+platform+cli
lagoon,Anemone,DEAD-SQUAT,"v0.0.1, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=lagoon+developer+platform+cli
lantern,Flame,DEAD-SQUAT,"v0.1.2, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=lantern+developer+platform+cli
lathe,Blank,DEAD-SQUAT,"v0.4.0, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=lathe+developer+platform+cli
lattice,Gate,DEAD-SQUAT,"v0.98.0, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=lattice+developer+platform+cli
ledger,Entry,DEAD-SQUAT,"v0.1.0, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=ledger+developer+platform+cli
library,Volume,DEAD-SQUAT,unpublished/empty,taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=library+developer+platform+cli
lintel,Brick,DEAD-SQUAT,"v0.1.9, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=lintel+developer+platform+cli
lode,Nugget,DEAD-SQUAT,"v0.1.1, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=lode+developer+platform+cli
lumo,Photon,DEAD-SQUAT,"v0.20.17, 3.1y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=lumo+developer+platform+cli
mangrove,Sprout,DEAD-SQUAT,"v0.7.4, 3.2y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=mangrove+developer+platform+cli
marina,Dinghy,DEAD-SQUAT,"v0.0.4, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=marina+developer+platform+cli
masonry,Brick,DEAD-SQUAT,"v0.0.2, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=masonry+developer+platform+cli
mill,Grain,DEAD-SQUAT,"v0.0.1, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=mill+developer+platform+cli
mistral,Gust,DEAD-SQUAT,"v0.0.4, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=mistral+developer+platform+cli
monsoon,Drop,DEAD-SQUAT,"v0.1.4, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=monsoon+developer+platform+cli
moor,Sedge,DEAD-SQUAT,"v0.0.2, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=moor+developer+platform+cli
mote,Speck,DEAD-SQUAT,"v0.2.0, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=mote+developer+platform+cli
mycelium,Spore,DEAD-SQUAT,unpublished/empty,taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=mycelium+developer+platform+cli
nebula,Mote,DEAD-SQUAT,"v0.1.5, 3.5y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=nebula+developer+platform+cli
nimbus,Droplet,DEAD-SQUAT,"v0.0.28, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=nimbus+developer+platform+cli
nucleus,Nucleon,DEAD-SQUAT,"v0.0.0, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=nucleus+developer+platform+cli
nyx,Mote,DEAD-SQUAT,"v0.1.0, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=nyx+developer+platform+cli
octave,Tone,DEAD-SQUAT,"v0.0.0, 4.1y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=octave+developer+platform+cli
pantry,Jar,DEAD-SQUAT,"v0.7.6, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=pantry+developer+platform+cli
pasture,Blade,DEAD-SQUAT,"v0.1.0, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=pasture+developer+platform+cli
permafrost,Grain,DEAD-SQUAT,"v0.0.4, 3.6y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=permafrost+developer+platform+cli
pier,Tender,DEAD-SQUAT,"v0.0.0, 3.6y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=pier+developer+platform+cli
piston,Valve,DEAD-SQUAT,"v0.2.1, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=piston+developer+platform+cli
plasma,Ion,DEAD-SQUAT,"v0.9.1, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=plasma+developer+platform+cli
plexus,Node,DEAD-SQUAT,"v0.0.1, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=plexus+developer+platform+cli
port,Vessel,DEAD-SQUAT,"v0.8.1, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=port+developer+platform+cli
proton,Quark,DEAD-SQUAT,"v0.5.0, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=proton+developer+platform+cli
pyon,Pion,DEAD-SQUAT,"v0.0.14, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=pyon+developer+platform+cli
pyre,Ember,DEAD-SQUAT,"v0.0.29, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=pyre+developer+platform+cli
quartz,Facet,DEAD-SQUAT,"v0.0.1, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=quartz+developer+platform+cli
quench,Shard,DEAD-SQUAT,"v0.0.0, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=quench+developer+platform+cli
quilt,Patch,DEAD-SQUAT,"v0.1.3, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=quilt+developer+platform+cli
quix,Bit,DEAD-SQUAT,"v0.0.0-reserved, 4.1y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=quix+developer+platform+cli
reef,Polyp,DEAD-SQUAT,"v0.0.1, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=reef+developer+platform+cli
refrain,Bar,DEAD-SQUAT,"v0.5.6, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=refrain+developer+platform+cli
rhizome,Node,DEAD-SQUAT,"v0.3.0, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=rhizome+developer+platform+cli
rivulet,Drop,DEAD-SQUAT,"v0.0.8, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=rivulet+developer+platform+cli
rookery,Rook,DEAD-SQUAT,"v0.3.0, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=rookery+developer+platform+cli
