name,unit,npm,npm_detail,dev,com,io,sh,app,github,score,lane_url
spring,Drop,DEAD-SQUAT,"v0.0.0, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=spring+developer+platform+cli
spry,Sprig,DEAD-SQUAT,"v0.0.4, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=spry+developer+platform+cli
steppe,Stalk,DEAD-SQUAT,"v0.2.3, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=steppe+developer+platform+cli
still,Dram,DEAD-SQUAT,"v0.0.7, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=still+developer+platform+cli
strata,Grain,DEAD-SQUAT,"v0.20.1, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=strata+developer+platform+cli
synapse,Signal,DEAD-SQUAT,"v0.2.0, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=synapse+developer+platform+cli
tamp,Shot,DEAD-SQUAT,"v0.0.3, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=tamp+developer+platform+cli
tapestry,Thread,DEAD-SQUAT,"v0.0.0, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=tapestry+developer+platform+cli
tempest,Bolt,DEAD-SQUAT,"v0.0.4, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=tempest+developer+platform+cli
tempo,Beat,DEAD-SQUAT,"v0.2.7, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=tempo+developer+platform+cli
tile,Pixel,DEAD-SQUAT,"v0.0.1, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=tile+developer+platform+cli
transistor,Gate,DEAD-SQUAT,"v0.4.0, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=transistor+developer+platform+cli
tuber,Eye,DEAD-SQUAT,"v0.1.0, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=tuber+developer+platform+cli
vault,Stone,DEAD-SQUAT,"v0.3.0, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=vault+developer+platform+cli
vein,Nugget,DEAD-SQUAT,"v0.5.5, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=vein+developer+platform+cli
veon,Muon,DEAD-SQUAT,"v0.3.0, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=veon+developer+platform+cli
vial,Dose,DEAD-SQUAT,"v0.0.4, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=vial+developer+platform+cli
vineyard,Vine,DEAD-SQUAT,"v0.1.10, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=vineyard+developer+platform+cli
vintage,Cask,DEAD-SQUAT,"v0.0.0, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=vintage+developer+platform+cli
vix,Bit,DEAD-SQUAT,"v0.0.1, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=vix+developer+platform+cli
volary,Swift,DEAD-SQUAT,"v0.0.1, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=volary+developer+platform+cli
voxel,Bit,DEAD-SQUAT,"v0.5.0, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=voxel+developer+platform+cli
wharf,Cargo,DEAD-SQUAT,"v0.0.1, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=wharf+developer+platform+cli
wisp,Mote,DEAD-SQUAT,"v0.13.0, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=wisp+developer+platform+cli
zenith,Beacon,DEAD-SQUAT,"v0.0.1, 3.2y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=zenith+developer+platform+cli
zeon,Ion,DEAD-SQUAT,"v0.0.0, 4.0y idle",taken,taken,unknown,unknown,unknown,UNKNOWN,1,https://www.google.com/search?q=zeon+developer+platform+cli
aquifer,Drop,TAKEN-LIVE,"v1.0.0, upd 2022-06-13",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=aquifer+developer+platform+cli
arcade,Kiosk,TAKEN-LIVE,"v0.0.11, upd 2026-06-17",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=arcade+developer+platform+cli
assay,Sample,TAKEN-LIVE,"v1.0.0, upd 2022-06-13",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=assay+developer+platform+cli
aurora,Glint,TAKEN-LIVE,"v2.1.3, upd 2022-06-13",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=aurora+developer+platform+cli
basalt,Shard,TAKEN-LIVE,"v1.0.1, upd 2022-06-13",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=basalt+developer+platform+cli
beaker,Drop,TAKEN-LIVE,"v6.1.0, upd 2022-06-13",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=beaker+developer+platform+cli
bedrock,Pebble,TAKEN-LIVE,"v4.5.1, upd 2022-06-13",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=bedrock+developer+platform+cli
bellows,Ember,TAKEN-LIVE,"v1.1.2, upd 2022-06-13",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=bellows+developer+platform+cli
berth,Hull,TAKEN-LIVE,"v1.0.0, upd 2022-06-13",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=berth+developer+platform+cli
bobbin,Thread,TAKEN-LIVE,"v3.1.0, upd 2022-06-13",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=bobbin+developer+platform+cli
bower,Vine,TAKEN-LIVE,"v1.8.14, upd 2026-06-05",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=bower+developer+platform+cli
bramble,Cane,TAKEN-LIVE,"v1.1.0, upd 2022-06-13",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=bramble+developer+platform+cli
brazier,Coal,TAKEN-LIVE,"v1.0.0, upd 2022-06-13",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=brazier+developer+platform+cli
cadence,Beat,TAKEN-LIVE,"v3.0.6, upd 2022-06-13",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=cadence+developer+platform+cli
catalog,Card,TAKEN-LIVE,"v3.6.2, upd 2025-10-10",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=catalog+developer+platform+cli
catalyst,Mote,TAKEN-LIVE,"v2.0.0-beta.4, upd 2025-12-30",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=catalyst+developer+platform+cli
cinder,Ember,TAKEN-LIVE,"v1.0.0-alpha.2, upd 2022-06-13",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=cinder+developer+platform+cli
circuit,Node,TAKEN-LIVE,"v1.2.0, upd 2022-06-13",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=circuit+developer+platform+cli
codex,Page,TAKEN-LIVE,"v0.2.3, upd 2025-12-07",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=codex+developer+platform+cli
cogwork,Tooth,TAKEN-LIVE,"v1.0.3, upd 2025-12-30",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=cogwork+developer+platform+cli
comb,Cell,TAKEN-LIVE,"v2.0.0, upd 2022-06-13",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=comb+developer+platform+cli
constellation,Star,TAKEN-LIVE,"v1.0.1, upd 2022-06-13",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=constellation+developer+platform+cli
coral,Polyp,TAKEN-LIVE,"v1.0.5, upd 2026-02-24",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=coral+developer+platform+cli
core,Proton,TAKEN-LIVE,"v1.0.113, upd 2022-06-30",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=core+developer+platform+cli
cote,Dove,TAKEN-LIVE,"v1.2.0, upd 2024-11-16",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=cote+developer+platform+cli
covey,Quail,TAKEN-LIVE,"v1.2.0, upd 2024-03-18",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=covey+developer+platform+cli
decanter,Pour,TAKEN-LIVE,"v7.4.0, upd 2025-08-21",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=decanter+developer+platform+cli
delta,Silt,TAKEN-LIVE,"v3.0.5, upd 2022-06-15",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=delta+developer+platform+cli
dovecote,Pigeon,TAKEN-LIVE,"v0.0.1, upd 2024-10-28",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=dovecote+developer+platform+cli
drift,Flake,TAKEN-LIVE,"v16.1.0, upd 2023-02-02",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=drift+developer+platform+cli
emporium,Booth,TAKEN-LIVE,"v3.0.2, upd 2022-05-01",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=emporium+developer+platform+cli
espalier,Scion,TAKEN-LIVE,"v0.0.0, upd 2026-06-01",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=espalier+developer+platform+cli
estuary,Fry,TAKEN-LIVE,"v1.0.1, upd 2022-06-17",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=estuary+developer+platform+cli
eyrie,Chick,TAKEN-LIVE,"v1.0.1, upd 2022-06-17",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=eyrie+developer+platform+cli
fen,Reed,TAKEN-LIVE,"v2.1.2, upd 2022-06-18",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=fen+developer+platform+cli
field,Quanta,TAKEN-LIVE,"v1.0.1, upd 2022-06-18",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=field+developer+platform+cli
filament,Strand,TAKEN-LIVE,"v1.53.4, upd 2024-08-09",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=filament+developer+platform+cli
flint,Spark,TAKEN-LIVE,"v0.16.0, upd 2026-04-30",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=flint+developer+platform+cli
folio,Leaf,TAKEN-LIVE,"v0.3.18, upd 2025-10-15",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=folio+developer+platform+cli
forge,Ingot,TAKEN-LIVE,"v2.3.0, upd 2022-06-18",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=forge+developer+platform+cli
foundation,Brick,TAKEN-LIVE,"v4.2.1-1, upd 2022-06-18",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=foundation+developer+platform+cli
foundry,Cast,TAKEN-LIVE,"v4.7.0, upd 2022-06-18",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=foundry+developer+platform+cli
gallery,Booth,TAKEN-LIVE,"v1.0.2, upd 2022-06-18",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=gallery+developer+platform+cli
galley,Slug,TAKEN-LIVE,"v1.2.6, upd 2022-06-18",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=galley+developer+platform+cli
geode,Crystal,TAKEN-LIVE,"v1.0.0, upd 2026-04-09",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=geode+developer+platform+cli
greenhouse,Seedling,TAKEN-LIVE,"v1.7.0, upd 2022-06-18",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=greenhouse+developer+platform+cli
grid,Cell,TAKEN-LIVE,"v4.10.8, upd 2022-09-07",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=grid+developer+platform+cli
grind,Bean,TAKEN-LIVE,"v0.0.3, upd 2025-04-30",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=grind+developer+platform+cli
harvest,Seed,TAKEN-LIVE,"v2.2.6, upd 2022-06-18",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=harvest+developer+platform+cli
hearth,Ember,TAKEN-LIVE,"v1.0.2, upd 2022-06-18",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=hearth+developer+platform+cli
hive,Cell,TAKEN-LIVE,"v2.1.13, upd 2025-10-27",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=hive+developer+platform+cli
kelp,Frond,TAKEN-LIVE,"v2.0.2, upd 2022-06-19",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=kelp+developer+platform+cli
keystone,Stone,TAKEN-LIVE,"v4.2.1, upd 2022-06-19",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=keystone+developer+platform+cli
kindling,Spark,TAKEN-LIVE,"v1.1.0, upd 2022-06-19",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=kindling+developer+platform+cli
loom,Warp,TAKEN-LIVE,"v3.1.2, upd 2022-06-19",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=loom+developer+platform+cli
loop,Sample,TAKEN-LIVE,"v3.3.6, upd 2022-06-19",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=loop+developer+platform+cli
lume,Ray,TAKEN-LIVE,"v0.3.0-alpha.46, upd 2025-06-10",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=lume+developer+platform+cli
magnum,Pour,TAKEN-LIVE,"v0.1.8, upd 2026-04-15",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=magnum+developer+platform+cli
mainspring,Coil,TAKEN-LIVE,"v1.0.1, upd 2022-06-19",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=mainspring+developer+platform+cli
market,Stall,TAKEN-LIVE,"v1.0.0, upd 2023-11-12",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=market+developer+platform+cli
matrix,Type,TAKEN-LIVE,"v1.0.3, upd 2022-12-21",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=matrix+developer+platform+cli
meadow,Clover,TAKEN-LIVE,"v2.0.46, upd 2026-06-15",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=meadow+developer+platform+cli
mesh,Node,TAKEN-LIVE,"v7.0.3, upd 2022-06-19",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=mesh+developer+platform+cli
mosaic,Tessera,TAKEN-LIVE,"v1.1.0, upd 2023-06-20",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=mosaic+developer+platform+cli
mound,Ant,TAKEN-LIVE,"v0.0.0, upd 2026-05-20",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=mound+developer+platform+cli
orbit,Satellite,TAKEN-LIVE,"v2.6.0, upd 2022-06-23",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=orbit+developer+platform+cli
orbo,Mote,TAKEN-LIVE,"v3.4.2, upd 2025-10-16",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=orbo+developer+platform+cli
orchard,Graft,TAKEN-LIVE,"v3.0.1, upd 2022-06-23",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=orchard+developer+platform+cli
pavilion,Booth,TAKEN-LIVE,"v2.0.3, upd 2022-06-23",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=pavilion+developer+platform+cli
perch,Wren,TAKEN-LIVE,"v1.0.0, upd 2022-06-23",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=perch+developer+platform+cli
plaza,Kiosk,TAKEN-LIVE,"v2.1.1, upd 2022-06-24",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=plaza+developer+platform+cli
portico,Column,TAKEN-LIVE,"v1.3.2, upd 2025-11-20",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=portico+developer+platform+cli
prairie,Stalk,TAKEN-LIVE,"v4.1.2, upd 2023-07-18",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=prairie+developer+platform+cli
press,Glyph,TAKEN-LIVE,"v0.1.1, upd 2026-05-07",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=press+developer+platform+cli
prism,Ray,TAKEN-LIVE,"v4.1.2, upd 2022-06-24",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=prism+developer+platform+cli
quantum,Qubit,TAKEN-LIVE,"v1.0.0-alpha.12, upd 2022-06-25",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=quantum+developer+platform+cli
quarry,Slab,TAKEN-LIVE,"v0.1.0, upd 2026-04-29",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=quarry+developer+platform+cli
quay,Barge,TAKEN-LIVE,"v0.6.0, upd 2026-03-03",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=quay+developer+platform+cli
quell,Quark,TAKEN-LIVE,"v1.0.0, upd 2022-06-25",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=quell+developer+platform+cli
quill,Mark,TAKEN-LIVE,"v2.0.3, upd 2025-01-20",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=quill+developer+platform+cli
ratchet,Tooth,TAKEN-LIVE,"v1.1.0, upd 2022-06-25",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=ratchet+developer+platform+cli
reactor,Neutron,TAKEN-LIVE,"v13.0.4, upd 2022-06-26",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=reactor+developer+platform+cli
reagent,Drop,TAKEN-LIVE,"v1.0.1, upd 2026-05-14",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=reagent+developer+platform+cli
ream,Sheet,TAKEN-LIVE,"v5.0.0-beta.12, upd 2022-06-26",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=ream+developer+platform+cli
reel,Yarn,TAKEN-LIVE,"v1.0.4, upd 2022-06-26",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=reel+developer+platform+cli
relay,Pulse,TAKEN-LIVE,"v0.8.0-1, upd 2025-05-15",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=relay+developer+platform+cli
retort,Drop,TAKEN-LIVE,"v1.0.1, upd 2022-06-26",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=retort+developer+platform+cli
rime,Crystal,TAKEN-LIVE,"v1.1.1, upd 2022-06-26",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=rime+developer+platform+cli
roastery,Bean,TAKEN-LIVE,"v0.1.7, upd 2026-01-27",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=roastery+developer+platform+cli
roost,Sparrow,TAKEN-LIVE,"v1.0.12, upd 2022-06-26",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=roost+developer+platform+cli
root,Tendril,TAKEN-LIVE,"v3.2.0, upd 2024-05-25",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=root+developer+platform+cli
savanna,Blade,TAKEN-LIVE,"v1.0.0, upd 2022-05-17",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=savanna+developer+platform+cli
skein,Thread,TAKEN-LIVE,"v1.0.21, upd 2022-06-26",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=skein+developer+platform+cli
snowpack,Flake,TAKEN-LIVE,"v3.8.8, upd 2022-05-18",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=snowpack+developer+platform+cli
spectrum,Photon,TAKEN-LIVE,"v1.0.1, upd 2022-06-26",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=spectrum+developer+platform+cli
spool,Yarn,TAKEN-LIVE,"v3.0.0, upd 2022-06-26",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=spool+developer+platform+cli
squall,Gust,TAKEN-LIVE,"v1.2.0, upd 2022-06-26",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=squall+developer+platform+cli
stacks,Tome,TAKEN-LIVE,"v0.70.23, upd 2025-04-04",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=stacks+developer+platform+cli
stamp,Die,TAKEN-LIVE,"v4.0.2, upd 2022-06-26",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=stamp+developer+platform+cli
stave,Note,TAKEN-LIVE,"v1.1.2, upd 2022-06-27",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=stave+developer+platform+cli
substrate,Trace,TAKEN-LIVE,"v120240617.1.9, upd 2024-08-07",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=substrate+developer+platform+cli
swarm,Bee,TAKEN-LIVE,"v0.3.25, upd 2025-10-13",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=swarm+developer+platform+cli
terrarium,Spore,TAKEN-LIVE,"v2.1.1, upd 2022-06-27",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=terrarium+developer+platform+cli
terrazzo,Chip,TAKEN-LIVE,"v0.6.0, upd 2026-04-16",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=terrazzo+developer+platform+cli
thicket,Cane,TAKEN-LIVE,"v1.2.1, upd 2022-06-27",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=thicket+developer+platform+cli
tidepool,Anemone,TAKEN-LIVE,"v2.1.0, upd 2026-01-19",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=tidepool+developer+platform+cli
timbre,Tone,TAKEN-LIVE,"v14.11.25, upd 2022-06-27",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=timbre+developer+platform+cli
tincture,Drop,TAKEN-LIVE,"v1.0.0, upd 2022-06-27",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=tincture+developer+platform+cli
tinder,Spark,TAKEN-LIVE,"v1.19.0, upd 2022-06-27",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=tinder+developer+platform+cli
trellis,Sprig,TAKEN-LIVE,"v3.2.3, upd 2026-06-12",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=trellis+developer+platform+cli
tun,Must,TAKEN-LIVE,"v1.0.0, upd 2022-06-27",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=tun+developer+platform+cli
twine,Strand,TAKEN-LIVE,"v2.0.0, upd 2022-06-28",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=twine+developer+platform+cli
vapor,Dew,TAKEN-LIVE,"v1.3.0, upd 2022-06-28",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=vapor+developer+platform+cli
vega,Spark,TAKEN-LIVE,"v6.2.0, upd 2026-05-13",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=vega+developer+platform+cli
vela,Spark,TAKEN-LIVE,"v0.1.0, upd 2026-05-05",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=vela+developer+platform+cli
wafer,Die,TAKEN-LIVE,"v9.0.3, upd 2022-06-28",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=wafer+developer+platform+cli
warp,Weft,TAKEN-LIVE,"v5.4.1, upd 2024-02-08",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=warp+developer+platform+cli
weave,Thread,TAKEN-LIVE,"v0.15.1, upd 2026-06-01",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=weave+developer+platform+cli
wellspring,Drop,TAKEN-LIVE,"v1.3.1, upd 2022-06-29",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=wellspring+developer+platform+cli
zylo,Mote,TAKEN-LIVE,"v0.0.0-alpha, upd 2024-12-06",taken,taken,unknown,unknown,taken,UNKNOWN,0,https://www.google.com/search?q=zylo+developer+platform+cli
